name,no_ep
Rick Sanchez,51
Aqua Morty,2
Big Boobed Waitress,1
Campaign Manager Morty,1
Crocubot,1
E. Coli,1
Eyehole Man,1
Ghost in a Jar,1
Hydrogen-F,1
Jessica's Friend,8
Leonard Smith,1
Melissa,1
Mr. Marklovitz,2
Photography Cyborg,1
Reverse Rick Outrage,1
Ron Benson,1
Shrimply Pibbles,1
Taddy Mason,1
Toxic Rick,1
Woman Rick,1
Morty Jr's interviewer,1
Rich Plutonian,1
Bearded Jerry,1
Communication's Responsible Rick,1
Retired General Rick,1
Fascist Rick’s Clone,1
Wasp Beth,1
Secretary at Tony's,1
Netflix Executive,1
Anchosnake,1
Christmas Storyteller,1
Ruth Bader Ginsburg,1
Bruce,1
Morty’s Girlfriend,1
Adam's Mother,1
Metal Rick,1
Xing Ho,1
Cirque du Soleil Zumanity Member,1
Turkey President Curtis,1
Rick's Garage,1
7+7 Years Old Morty,1
Gotron,1
